index,date,day,month,year,newspaper,location,page_link
30,1861-05-09,9,5,1861,Cass County Republican,"Dowagiac, Michigan",https://chroniclingamerica.loc.gov/lccn/sn85033611/1861-05-09/ed-1/seq-4/ocr/
31,1861-05-16,16,5,1861,Vermont Phoenix,"Brattleboro, Vermont",https://chroniclingamerica.loc.gov/lccn/sn98060050/1861-05-16/ed-1/seq-4/ocr/
32,1861-05-17,17,5,1861,Watertown Republican,"Watertown, Wisconsin",https://chroniclingamerica.loc.gov/lccn/sn85033295/1861-05-17/ed-1/seq-1/ocr/
33,1861-06-21,21,7,1861,Bedford Inquirer,"Bedford, Pennsylvania",https://chroniclingamerica.loc.gov/lccn/sn83032006/1861-06-21/ed-1/seq-3/ocr/
34,1861-06-28,28,6,1861,Bedford Inquirer,"Bedford, Pennsylvania",https://chroniclingamerica.loc.gov/lccn/sn83032006/1861-06-28/ed-1/seq-4/ocr/
35,1861-07-02,2,7,1861,Daily Green Mountain Freeman,"Montpelier, Vermont",https://chroniclingamerica.loc.gov/lccn/sn84023210/1861-07-02/ed-1/seq-1/ocr/
36,1861-07-06,6,7,1861,West-Jersey Pioneer,"Bridgeton, New Jersey",https://chroniclingamerica.loc.gov/lccn/sn83032103/1861-07-06/ed-1/seq-1/ocr/
37,1861-07-06,6,7,1861,American Union,"Martinsburg, West Virginia",https://chroniclingamerica.loc.gov/lccn/sn84026772/1861-07-06/ed-1/seq-4/ocr/
38,1861-07-11,11,7,1861,Centre Democrat,"Bellefonte, Pennsylvania",https://chroniclingamerica.loc.gov/lccn/sn84009409/1861-07-11/ed-1/seq-1/ocr/
39,1861-07-12,12,7,1861,Bedford Inquirer,"Bedford, Pennsylvania",https://chroniclingamerica.loc.gov/lccn/sn83032006/1861-07-12/ed-1/seq-4/ocr/
40,1861-07-18,18,7,1861,Centre Democrat,"Bellefonte, Pennsylvania",https://chroniclingamerica.loc.gov/lccn/sn84009409/1861-07-18/ed-1/seq-1/ocr/
41,1861-08-16,16,8,1861,Bedford Inquirer,"Bedford, Pennsylvania",https://chroniclingamerica.loc.gov/lccn/sn83032006/1861-08-16/ed-1/seq-4/ocr/
42,1862-07-03,3,7,1862,Tipton Advertiser,"Tipton, Iowa",https://chroniclingamerica.loc.gov/lccn/sn84027398/1862-07-03/ed-1/seq-1/ocr/
43,1865-06-30,30,6,1865,Bedford Inquirer,"Bedford, Pennsylvania",https://chroniclingamerica.loc.gov/lccn/sn83032006/1865-06-30/ed-1/seq-1/ocr/
44,1865-07-04,4,7,1865,Evansville Daily Journal,"Evansville, Indiana",https://chroniclingamerica.loc.gov/lccn/sn86059181/1865-07-04/ed-1/seq-2/ocr/
45,1865-07-04,4,7,1865,Wheeling Daily Intelligencer,"Wheeling, West Virginia",https://chroniclingamerica.loc.gov/lccn/sn84026844/1865-07-04/ed-1/seq-1/ocr/
